Date,Weight
12/27/2022,199.4
12/28/2022,199.4
12/29/2022,199.4
12/30/2022,198.6
12/31/2022,198.6
1/1/2023,201.4
1/2/2023,200.6
1/3/2023,200.6
1/4/2023,200.6
1/5/2023,199.6
1/6/2023,198.6
1/7/2023,198.6
1/8/2023,200
1/9/2023,200
1/10/2023,200
1/11/2023,200
1/12/2023,198.4
1/13/2023,200
1/14/2023,201
1/15/2023,202
1/16/2023,200.8
1/17/2023,200
1/18/2023,200
1/19/2023,198.4
1/20/2023,197.6
1/21/2023,197.6
1/22/2023,198.4
1/23/2023,197.6
1/24/2023,198.2
1/25/2023,197.6
1/26/2023,198.4
1/27/2023,197.6
1/28/2023,196.8
1/29/2023,196.8
1/30/2023,196.8
1/31/2023,196
2/1/2023,195.4
2/2/2023,195.4
2/3/2023,196
2/4/2023,196
2/5/2023,196.6
2/6/2023,194.8
2/7/2023,194.8
2/8/2023,194.8
2/9/2023,193
2/10/2023,194.8
2/11/2023,195.4
2/12/2023,196.6
2/13/2023,198
2/14/2023,194.6
2/15/2023,194.6
2/16/2023,194
2/17/2023,194
2/18/2023,195.2
2/19/2023,196
2/20/2023,196
2/21/2023,195.2
2/22/2023,192.8
2/23/2023,191.6
2/24/2023,192.8
2/25/2023,192.2
2/26/2023,193.4
2/27/2023,195.6
2/28/2023,192.2
3/1/2023,191.4
3/2/2023,191.4
3/3/2023,192.2
3/4/2023,192.2
3/5/2023,195.4
3/6/2023,193
3/7/2023,192.2
